,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
ACD,35.1687,35.0523,32.7539,27.9649,31.3345,34.6377,35.4469,35.0424
ACE2,1.89009,1.47295,0.761607,0.281154,1.76858,1.93581,0.254052,1.21664
ACE,0.396825,0.214363,0.244325,2.10173,0.246894,0.208719,2.07441,0.136453
ACE3P,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,0,0,0,0
ACER2,2.04819,1.85214,1.75504,1.58353,1.65056,1.85414,2.51546,2.01134
ACER2P1,0,0,0,0,0,0,0,0
ACER3,6.25797,6.18615,5.94962,7.13585,7.91839,8.10606,8.04371,8.31945
ACHE,1.81826,2.03041,1.07319,1.20732,1.63478,1.90985,1.79038,1.85057
ACIN1,75.343,78.7354,71.1693,76.1858,85.2332,81.1828,104.694,101.442
ACKR1,0,0,0,0,0,0,0,0
ACKR2,0.0629775,0.248331,0.180689,0.130867,0.273103,0.253335,0.23515,0.157153
ACKR3,0,0.0726608,0.0272839,0,0.0849831,0,0.0234892,0
ACKR4,0,0,0,0,0,0.0227745,0,0.0198892
ACKR4P1,0,0,0,0,0,0,0,0
ACLY,118.138,118.819,127.176,118.437,122.361,126.509,128.423,124.383
ACMSD,0,0,0,0,0,0,0,0
ACNATP,0,0,0,0,0,0,0,0
ACO1,16.595,16.4906,16.566,17.5387,16.9695,15.947,17.1618,16.7383
ACO2,69.523,66.1817,72.7979,67.5447,67.9328,69.1897,72.3489,68.877
ACOT11,0.746002,0.775367,0.736205,0.548715,0.561174,0.651867,0.793935,0.458103
ACOT12,0.0445795,0,0,0,0.0904742,0,0.0844864,0.0222136
ACOT1,2.89084,2.91157,3.29917,3.32191,2.28042,36.9307,2.62857,3.08997
ACOT13,34.1189,34.3881,35.8253,35.6792,38.1829,4.19715,34.6701,42.1698
ACOT2,8.57228,9.51307,10.2992,11.4978,10.8605,11.0671,9.79702,10.9173
ACOT4,0,0,0,0.0941258,0,0,0,0
ACOT6,0,0,0.0730224,0,0,0,0,0
ACOT7,81.62,79.9902,82.5044,79.6184,70.9819,79.6893,74.0069,72.5068
ACOT8,24.6507,23.7442,20.9597,18.0081,19.3234,19.0715,21.018,20.4742
ACOT9,18.3198,18.3741,17.5101,16.6607,20.0611,16.2504,20.1575,20.9931
ACOX1,7.0283,7.57768,6.86661,7.15584,8.4,6.73272,7.40751,8.65673
