,h3.1,h3.2,h3.3,h11.1,h11.2,h11.3
ACTBP2,0.199679,0,0.130079,0,0,0
ACTBP4,0,0,0,0,0,0
ACTBP6,0,0,0,0,0,0
ACTBP7,0.0664256,0.4211,0,0,0.219372,0.126915
ACTBP8,0,0,0,0,0,0
ACTBP9,0,0,0,0,0,0
ACTC1,0.531459,0.378372,0.390054,0.233971,0.164853,0.261586
ACTE1P,0,0,0,0.223941,0.0813348,0.0943392
ACTG1,962.507,1049.83,1008.69,983.041,1030.07,1022.04
ACTG1P10,0,0,0,0,0.0573808,0.0664092
ACTG1P1,0.132154,0.119692,0.129198,0.295483,0.16367,0.0631245
ACTG1P11,0,0,0,0,0.0273928,0
ACTG1P12,0,0.0576439,0.124396,0.170709,0,0
ACTG1P13,0,0,0,0,0,0
ACTG1P14,0.199693,0.24113,0.325352,0.238092,0.384709,0.127184
ACTG1P15,0,0,0.0693657,0,0.0585931,0
ACTG1P16,0.208372,0.314516,0.543374,0,0.0573712,0
ACTG1P17,1.57943,1.46833,4.65783,1.07427,1.96471,0.952722
ACTG1P18,0,0.0589922,0,0,0,0
ACTG1P19,0,0,0,0,0,0
ACTG1P2,0,0,0,0,0.0273928,0
ACTG1P20,2.50353,4.33638,3.10127,2.44333,3.15314,2.25649
ACTG1P21,0,0.414347,0.223877,0,0,0.0730115
ACTG1P22,0,0,0,0,0,0
ACTG1P23,0,0,0,0,0,0
ACTG1P24,0.804649,0.404682,0.43797,0.320168,0,0.514963
ACTG1P25,0.733702,1.19595,1.43549,0.590722,0.727585,1.19339
ACTG1P3,1.74511,1.58052,0.787456,0.180076,0.166274,0.192403
ACTG1P4,0,0,0,0,0,0
ACTG1P9,0.230712,0.0465059,0.199298,0,0.0444745,0.0242598
ACTG2,0.389444,0,0.299065,0.136885,0.126248,0.0486273
ACTL10,0.134844,0.12218,0.219263,0,0,0
ACTL11P,0.0504479,0.0152459,0.0163803,0.0150144,0.0137987,0
ACTL6A,33.4317,37.627,34.3006,38.3502,42.4176,43.1616
ACTL6B,0.407103,1.58367,0.678261,0.679477,0.759981,0.669029
ACTL7A,0,0,0,0,0,0
ACTL7B,0.361483,0.327491,0.65538,0,0.0851248,0
ACTL8,0.152145,0.0767545,0.296681,0.226978,0.125192,0.0805205
ACTL9,0,0,0,0,0,0
ACTN1,28.5886,28.4297,27.5064,35.1569,35.1808,36.145
ACTN1-DT,0.741581,0.755738,0.144218,0,0.122028,0.4791
ACTN2,6.31803,6.88387,5.83314,6.27596,5.86747,6.93308
ACTN3,0.0873964,0.0396128,0.0638111,0.105785,0,0.111127
ACTN4,87.9186,90.3846,87.749,94.0155,93.7691,107.046
ACTN4P1,0,0,0,0,0,0
ACTN4P2,0.036914,0,0,0,0,0
ACTP1,0,0,0,0,0,0
ACTR10,27.5045,36.2003,30.9516,32.4384,34.8457,47.5914
ACTR1A,74.4543,75.0771,71.6617,90.1362,84.1447,81.853
ACTR1AP1,0,0,0,0,0,0
ACTR1B,35.1513,30.7801,32.794,32.7073,30.6849,31.4293
ACTR2,95.9259,98.1814,94.6439,116.633,118.413,120.275
ACTR3,76.2686,86.6219,81.077,104.099,103.901,100.704
ACTR3-AS1,1.22837,1.87171,1.86434,1.38478,0.411178,2.39387
ACTR3B,11.7601,12.7829,12.7219,20.9037,15.5867,16.6486
ACTR3BP1,0,0,0,0,0,0
ACTR3BP4,0,0,0,0,0,0
ACTR3BP6,0,0,0,0,0,0
ACTR3C,3.01271,4.70592,3.42912,2.00154,1.77832,1.0029
ACTR3P2,0,0,0,0,0,0
ACTR3P3,0,0,0,0,0,0
ACTR5,5.14005,7.06136,5.60592,6.06897,5.36766,5.88493
ACTR6,26.1725,23.233,25.3492,26.6183,25.5266,25.4038
ACTR6P1,0,0,0,0,0,0
ACTR8,21.0681,24.1093,19.8653,22.9671,25.2177,21.5511
ACTRT1P1,0,0,0,0,0,0
ACTRT3,1.69298,2.1477,2.14672,1.58779,1.35895,1.6898
ACVR1,4.49457,3.3977,3.24351,5.4426,4.71393,5.559
ACVR1B,11.5154,10.6256,9.79317,11.0837,12.2469,12.0913
ACVR1C,0.172977,0.216103,0.153387,0.154622,0.156534,0.164958
ACVR2A,5.81599,5.00514,5.6826,4.87114,5.51199,5.46829
ACVR2B,5.48516,4.86146,5.01237,5.1585,5.58242,5.67539
ACVR2B-AS1,2.07167,2.41874,2.08617,1.25832,0.846636,0.950575
ACVRL1,0.252489,0.0443993,0.0522404,0.0478147,0.0663229,0.183815
ACY1,20.9155,21.1701,19.9279,21.8561,19.7663,20.8871
ACY3,0,0,0,0,0,0
ACYP1,38.5631,43.6872,48.4878,29.8907,29.1165,36.3216
ACYP2,4.06778,5.62542,6.03175,6.43205,5.4375,4.74157
ADA2,0.0919815,10.7728,12.7191,11.852,11.9594,0.194062
ADA,9.63785,0.0225856,0.119716,0.0804158,0.114595,9.5001
ADAD1,0,0,0,0,0,0
ADAD2,0,0.0545722,0.098131,0.15492,0,0
ADAL,7.13,6.87404,7.66225,9.95542,9.65475,10.9839
ADAM10,16.1501,22.127,21.0915,21.1113,24.9661,26.8895
ADAM11,5.06736,6.72778,6.67189,5.70102,6.56646,9.36442
ADAM12,0.0492419,0.0595338,0.803998,0.139044,0.0403731,0.0766855
ADAM15,47.6952,50.5365,46.0599,46.9998,43.0692,42.6222
ADAM17,11.5697,11.254,11.8602,14.58,15.1082,12.4719
ADAM18,0,0,0,0,0,0
ADAM19,0.898998,1.10464,1.07162,1.31516,1.18457,1.12764
ADAM1A,0.344152,0,0.0598402,0,0,0.0955207
ADAM1B,0.0347872,0,0.0338644,0.0782289,0,0
ADAM20,0.097395,0.110354,0.0711228,0.0651848,0.0200026,0.0459978
ADAM20P1,0.649145,0.765344,1.00979,0.257866,0.048509,0.147302
ADAM21,0.106439,0.139736,0.175152,0.0379892,0.126661,0.0243394
ADAM21P1,0,0,0,0,0,0.0321119
ADAM22,3.96204,4.72584,3.32556,4.31068,4.18676,3.85005
ADAM23,6.91423,5.35799,6.72964,6.09722,7.51535,7.61713
ADAM24P,0,0,0,0,0,0
ADAM28,0.00930843,0.00844032,0.00905118,0.0628786,0.0588519,0
ADAM29,0.172347,0.0303266,0.163432,0,0.02506,0
ADAM30,0,0.0205155,0,0,0,0
ADAM32,0.351823,0.484435,0.529443,0.430906,0.283533,1.04796
ADAM33,0.0290764,0,0,0.034794,0.0955985,0.0275664
ADAM3A,0,0.181691,0,0,0,0
ADAM3B,0,0,0,0,0,0
ADAM5,0,0.0315215,0,0.0874009,0,0
ADAM7,0,0,0,0,0,0
ADAM8,1.99777,2.62615,3.47642,1.82392,2.67145,2.27573
ADAM9,22.9793,24.9986,23.5,28.8605,26.9743,26.0149
ADAMDEC1,0,0,0,0,0,0
ADAMTS10,1.70315,1.95039,1.71581,2.6788,2.36225,2.32218
ADAMTS12,0.00758927,0.0259529,0.0743572,0.0441521,0.0234867,0.0727466
ADAMTS1,26.0314,26.1603,22.9735,23.5043,21.6146,21.958
ADAMTS13,9.29648,8.37336,10.7109,10.8567,7.64326,9.68733
ADAMTS14,0.0374966,0.0339975,0.0364713,0.0445902,0.030759,0.0590396
ADAMTS15,0.371358,0.53478,0.41426,0.438329,0.331446,0.278508
ADAMTS16,0.0506725,0.0229659,0.0493464,0.0904454,0.0416318,0.0125209
ADAMTS16-DT,0.039045,0.0205431,0.0878934,0.0300029,0.0183952,0.0225539
ADAMTS17,5.95463,4.17008,4.99163,5.53214,4.60082,5.03442
ADAMTS18,0.0450222,0.0408218,0,0.0501902,0.129553,0.0318918
ADAMTS19,2.26489,2.48803,3.06478,2.02711,2.01642,2.34992
ADAMTS19-AS1,0.646604,0.661689,0.804139,1.12664,1.49511,1.24425
ADAMTS20,1.02154,0.860597,0.496234,0.656724,0.570346,0.609343
ADAMTS2,2.46073,2.11853,1.82103,2.53773,2.51408,1.80591
ADAMTS3,2.17366,2.80601,1.62274,2.76097,3.14633,2.81459
ADAMTS4,0.549929,0.438412,0.366687,0.0950867,0.137402,0.168477
ADAMTS5,0.0404851,0.0843407,0.126757,0.102335,0.110625,0.193602
ADAMTS6,0.839807,0.606423,0.597648,1.14105,0.886909,1.26791
ADAMTS7,0.939081,1.00117,0.943158,1.72326,1.42743,1.51265
ADAMTS7P1,0,0.0128811,0,0,0.0442224,0.0425515
ADAMTS7P3,0,0.0184154,0.0716152,0,0,0
ADAMTS7P4,0.684554,0,0,0,0.0165559,0.116927
ADAMTS8,0.183487,0.353032,0.089638,0.147889,0.166318,0.156796
ADAMTS9,1.98812,1.57441,1.85331,1.69844,1.60453,2.02841
ADAMTS9-AS1,0,0,0,0,0,0
ADAMTS9-AS2,0.151721,0.0655989,0.145732,0.117349,0.0296985,0.166333
ADAMTSL1,0.0909161,0.290058,0.241196,0.36908,0.0911245,0.320868
ADAMTSL2,0,0.0148283,0.016395,0,0,0
ADAMTSL3,0.901004,0.758887,0.337745,0.301671,0.324846,0.25815
ADAMTSL4,0.425845,0.423308,0.466634,0.414538,0.445966,0.433858
ADAMTSL4-AS1,0.626315,0.2438,0.497469,0.247805,0.179924,0.10382
ADAMTSL4-AS2,2.28876,1.84052,3.12583,0.684275,0.528806,0.492167
ADAMTSL5,1.03965,0.474106,0.927373,1.18104,1.23646,2.19434
ADAP1,8.66347,6.00244,9.75077,11.4463,9.27856,9.88452
ADAP2,3.14714,3.55227,3.65535,3.89761,5.36084,6.92117
ADAR,46.986,50.8518,46.6489,54.5226,54.9751,56.0474
ADARB1,11.2597,9.91278,10.7879,9.45667,11.4395,11.1967
ADARB2,0.0387521,0,0,0.149473,0.0188837,0
ADARB2-AS1,0,0,0,0,0,0
ADAT1,8.39664,8.18484,11.203,12.9641,11.5239,11.5086
ADAT2,23.9194,19.5429,25.8591,22.1016,21.6873,17.8972
ADAT3,23.2445,22.9716,28.3599,10.2064,10.4987,10.1067
ADCK1,9.93851,12.1129,9.65898,8.04392,11.4581,12.9787
ADCK2,11.0467,14.0116,12.7237,14.499,16.3064,13.9471
ADCK5,3.18231,4.13149,3.26252,3.04526,3.88308,4.32167
ADCY10,0.516464,0.425561,0.399049,0.845168,0.541163,0.429491
ADCY10P1,1.50101,1.58695,0.900072,1.78635,1.78589,1.41762
ADCY1,3.51104,3.45018,2.52207,3.47552,3.34237,2.84654
ADCY2,0.0460066,0.228825,0.0718097,0.129218,0.0215923,0.0505648
ADCY3,22.9727,31.1445,24.216,26.5342,25.3991,31.0679
ADCY4,0.120294,0.0770571,0.0436488,0.0214059,0.106998,0.106107
ADCY5,0.602526,0.529851,0.114835,0.245388,0.276857,0.500831
